step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
1,249,1,0.6260991063429536,0.0,0.6506024096385542,0.46988950097658344,0.0,0.6623376623376623
2,498,2,0.7926259394056697,0.0,0.5773195876288659,,,
3,795,3,0.5623514090297795,0.0,0.6666666666666666,,,
4,996,4,0.48988112010711127,0.0,0.7605633802816901,,,
5,1277,5,0.3812367400594973,0.0,0.7916666666666666,,,
6,1502,6,0.35080131018060007,0.0,0.7763157894736842,,,
7,1775,7,0.585340378060709,0.0,0.7256637168141593,,,
8,2008,8,0.4360940421595886,0.0,0.7529411764705882,,,
9,2233,9,0.48913810765377774,0.0,0.7628865979381443,0.5801506616598048,0.0,0.7407407407407407
10,2514,10,0.40472688905544035,0.0,0.7894736842105263,,,
11,2723,11,0.26060061998374295,0.0,0.8783783783783784,,,
12,2948,12,0.11775994233681687,0.0,0.8840579710144928,,,
13,3213,13,0.5157870082114895,0.0,0.7475728155339806,,,
14,3422,14,0.18250450587754902,0.0,0.8904109589041096,,,
15,3743,15,0.4739588344268378,0.0,0.6788990825688074,,,
16,3928,16,0.025331920183467454,1.0,1.0,,,
17,4161,17,0.3186872779174489,0.0,0.8271604938271605,0.1616230532025719,0.0,0.922077922077922
18,4434,18,0.3325507683423659,0.0,0.8113207547169812,,,
19,4699,19,0.5803206825744133,0.0,0.7478260869565218,,,
20,4948,20,0.15974712119390003,0.0,0.8767123287671232,,,
21,5173,21,0.2202248428742509,0.0,0.8904109589041096,,,
22,5406,22,0.1928866235991179,0.0,0.8831168831168831,,,
23,5671,23,0.4922486079773353,0.0,0.7378640776699029,,,
24,5984,24,0.18773441852884143,0.0,0.8,,,
25,6257,25,0.4363722365273193,0.0,0.7572815533980582,0.5213279099890517,0.0,0.7777777777777778
26,6562,26,0.39837123018349635,0.0,0.7547169811320755,,,
27,6827,27,0.34699826050416904,0.0,0.7956989247311828,,,
28,7108,28,0.2520403381781191,0.0,0.8888888888888888,,,
29,7445,29,0.47125991271456985,0.0,0.777027027027027,,,
30,7694,30,0.7341035987225548,0.0,0.732824427480916,,,
31,7967,31,0.24218113164275992,0.0,0.8764044943820225,,,
32,8208,32,0.2174365025887792,0.0,0.8536585365853658,,,
33,8473,33,0.2934618682526144,0.0,0.8617021276595744,0.5211897259033383,0.0,0.7685185185185185
34,8762,34,0.2278523551942261,0.0,0.8255813953488372,,,
35,9051,35,0.18961092487307818,0.0,0.8472222222222222,,,
36,9356,36,0.3444166287698344,0.0,0.8113207547169812,,,
37,9581,37,0.2941824863644845,0.0,0.8518518518518519,,,
38,9862,38,0.22089656425056325,0.0,0.8554216867469879,,,
39,10047,39,0.5113805101832674,0.0,0.7472527472527473,,,
40,10296,40,0.26713041374605195,0.0,0.84375,,,
41,10545,41,0.289513147796743,0.0,0.8045977011494253,0.17159076126932163,0.0,0.9090909090909091
42,10786,42,0.1815366440874271,0.0,0.8876404494382022,,,
43,11051,43,0.4684821806523416,0.0,0.7543859649122807,,,
44,11316,44,0.45372053942860174,0.0,0.7961165048543689,,,
45,11581,45,0.25027598280829005,0.0,0.8045977011494253,,,
46,11854,46,0.1218178300647176,0.0,0.9014084507042254,,,
47,12087,47,0.20038156053995348,0.0,0.9012345679012346,,,
48,12392,48,0.29936112564967343,0.0,0.8476190476190476,,,
49,12665,49,0.30420027587787174,0.0,0.797752808988764,0.19138038851355904,0.0,0.8831168831168831
50,12882,50,0.33271372788725645,0.0,0.8352941176470589,,,
51,13139,51,0.2646461173211394,0.0,0.7978723404255319,,,
52,13436,52,0.32653709939651265,0.0,0.7850467289719626,,,
53,13717,53,0.45195446194957917,0.0,0.782608695652174,,,
54,14038,54,0.30215253182743795,0.0,0.8260869565217391,,,
55,14287,55,0.3232756184705079,0.0,0.8404255319148937,,,
56,14576,56,0.23966411174711627,0.0,0.8222222222222222,,,
57,14913,57,0.47258127398731087,0.0,0.712,0.5359653116885318,0.0,0.7777777777777778
58,15162,58,0.3715033476413372,0.0,0.8314606741573034,,,
59,15467,59,0.1950800148721012,0.0,0.8552631578947368,,,
60,15692,60,0.17039775854678438,0.0,0.925,,,
61,15933,61,0.3421311411286645,0.0,0.8354430379746836,,,
62,16262,62,0.34143862843052375,0.0,0.8064516129032258,,,
63,16575,63,0.41649224867070983,0.0,0.7739130434782608,,,
64,16872,64,0.6360023717829392,0.0,0.6928571428571428,,,
65,17145,65,0.20732394985871855,0.0,0.8518518518518519,0.5447005471127654,0.0,0.7685185185185185
66,17370,66,0.15742441367538637,0.0,0.9027777777777778,,,
67,17595,67,0.17137901850908316,0.0,0.8701298701298701,,,
68,17868,68,0.3094957909821389,0.0,0.8,,,
69,18085,69,0.45065734100803834,0.0,0.7745098039215687,,,
70,18382,70,0.24609566741962646,0.0,0.897196261682243,,,
71,18655,71,0.4203756274622223,0.0,0.7699115044247787,,,
72,18992,72,0.42304985736506856,0.0,0.728,,,
73,19217,73,0.34389228908946823,0.0,0.8247422680412371,0.1713339762231561,0.0,0.8831168831168831
74,19466,74,0.31740075950827434,0.0,0.8426966292134831,,,
75,19675,75,0.1510201706928996,0.0,0.8767123287671232,,,
76,19908,76,0.34336363527430724,0.0,0.788235294117647,,,
77,20189,77,0.1643106315818131,0.0,0.891566265060241,,,
78,20374,78,0.020548756140341212,1.0,1.0,,,
79,20663,79,0.14540634358880083,0.0,0.875,,,
80,20944,80,0.23906229186515487,0.0,0.8333333333333334,,,
81,21217,81,0.14709215742043305,0.0,0.9213483146067416,0.5481015719153959,0.0,0.7685185185185185
82,21490,82,0.24090165552982618,0.0,0.8625,,,
83,21755,83,0.38799709003616845,0.0,0.7766990291262136,,,
84,22044,84,0.19173890802250892,0.0,0.8333333333333334,,,
85,22309,85,0.22782636545550872,0.0,0.8829787234042553,,,
86,22534,86,0.12178092066383088,0.0,0.9090909090909091,,,
87,22783,87,0.21820010317204877,0.0,0.8735632183908046,,,
88,23088,88,0.2550572932401151,0.0,0.839622641509434,,,
89,23385,89,0.2888474404615639,0.0,0.8425925925925926,0.16054088716810072,0.0,0.9090909090909091
90,23610,90,0.16403314120811957,0.0,0.8904109589041096,,,
91,23875,91,0.2733100356853855,0.0,0.8279569892473119,,,
92,24204,92,0.24908092255997852,0.0,0.8467741935483871,,,
93,24437,93,0.23800794112973342,0.0,0.8395061728395061,,,
94,24718,94,0.19589360818305557,0.0,0.8777777777777778,,,
95,24943,95,0.22903928300754287,0.0,0.8888888888888888,,,
96,25160,96,0.21470978538370428,0.0,0.8705882352941177,,,
97,25385,97,0.09873901034157699,0.0,0.9444444444444444,0.16584679421009227,0.0,0.8961038961038961
98,25634,98,0.20945951007440558,0.0,0.8674698795180723,,,
99,25939,99,0.293948856310341,0.0,0.7924528301886793,,,
100,26188,100,0.5319334629565424,0.0,0.8091603053435115,,,
101,26429,101,0.24785826068250894,0.0,0.8734177215189873,,,
102,26678,102,0.19204392463453945,0.0,0.9166666666666666,,,
103,26903,103,0.1463908620934192,0.0,0.881578947368421,,,
104,27176,104,0.1504641652048535,0.0,0.8765432098765432,,,
105,27481,105,0.2421361933313996,0.0,0.8571428571428571,0.5279816721685304,0.0,0.7962962962962963
106,27754,106,0.23336261939068811,0.0,0.8539325842696629,,,
107,28003,107,0.13891044145247208,0.0,0.9041095890410958,,,
108,28228,108,0.10260979410191529,0.0,0.9625,,,
109,28565,109,0.34416953326405664,0.0,0.8243243243243243,,,
110,28830,110,0.39462190265042907,0.0,0.7572815533980582,,,
111,29071,111,0.17230246560410495,0.0,0.8902439024390244,,,
112,29280,112,0.1579715680240971,0.0,0.8918918918918919,,,
113,29553,113,0.09884537428924214,0.0,0.9154929577464789,0.16095122321700392,0.0,0.922077922077922
114,29802,114,0.21243349290827845,0.0,0.8936170212765957,,,
115,30059,115,0.17023274904030644,0.0,0.851063829787234,,,
116,30308,116,0.3746199101234571,0.0,0.7628865979381443,,,
117,30581,117,0.3884682830614433,0.0,0.7961165048543689,,,
118,30814,118,0.15351073420122185,0.0,0.8888888888888888,,,
119,31079,119,0.3755189409445773,0.0,0.7982456140350878,,,
120,31392,120,0.15054590836970502,0.0,0.875,,,
